propertyCode,thumbnail,numPhotos,floor,price,priceInfo,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,topPlus,externalReference,parkingSpace,highlight
89355692,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/79/90/e2/769679297.webp,35,7,1600.0,"{'price': {'amount': 1600.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 2000.0, 'priceDropValue': 400, 'priceDropPercentage': 20}}}",flat,rent,140.0,True,4,2,avenida Maisonnave,Alicante,Alicante / Alacant,Centro,es,Ensanche-Diputación,38.3433504,-0.4924533,False,https://www.idealista.com/inmueble/89355692/,1005,"¡Descubre tu nuevo hogar en el corazón de Alicante! Este espectacular piso de lujo, ubicado en la principal arteria de la ciudad, te ofrece una experiencia de vida inigualable. Situado estratégicamente entre los dos Corte Inglés y a un paso de Federico Soto, Calvo Sotelo, Luceros y Doctor Gadea, tendrás todo lo que necesitas a tu alcance: tram, bus, supermercados y más. La vivienda cuenta con 140 m² construidos y 110 m² útiles, distribuidos en un amplio recibidor, un elegante salón comedor, una cocina completamente equipada, cuatro dormitorios dobles con armarios empotrados y dos baños completos. Además, podrás disfrutar del aire libre en su balcón y terraza, perfectos para relajarte después de un día ajetreado. Ubicada en la planta 7 de un edificio con ascensor y orientación norte-oeste. Construida en 1969 y en excelente estado de conservación, dispone de aire acondicionado para tu máximo confort.  Para alquilar este magnífico piso, se solicita documentación económica. No dejes pasar esta oportunidad única de vivir en una de las mejores zonas de Alicante. ¡Contacta con nosotros y agenda tu visita hoy mismo!",False,good,False,True,11.0,{'typology': 'flat'},"{'subtitle': 'Ensanche-Diputación, Alicante / Alacant', 'title': 'Piso en avenida Maisonnave'}",False,False,False,False,False,False,,,
105120422,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3f/3d/15/1242343568.webp,38,en,1300.0,"{'price': {'amount': 1300.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1600.0, 'priceDropValue': 300, 'priceDropPercentage': 19}}}",flat,rent,150.0,True,3,2,calle Susana Llaneras,Alicante,Alicante / Alacant,Centro,es,Centro Tradicional,38.3456112,-0.4870327,False,https://www.idealista.com/inmueble/105120422/,519,"Espectacular piso totalmente reformado, en una ubicación excepcional, en el pleno corazón del centro de Alicante. A tan sólo 1 minuto de Esplanada y La Rambla, a un paso de transporte público, bancos, restaurantes, casco antiguo y puerto deportivo de Alicante, mientras la playa de Postiguet se encuentra a 5 minutos a pie!  El apartamento es muy amplio y luminoso. Tiene 3 dormitorios, el principal con grande baño en suite y enorme vestidor, dispone de un patio, salón-comedor-cocina abierto con isla de cocina. Tiene aire acondicionado. Totalmente nuevo y moderno, con paredes lisas, ventanas de climalit, suelo de parquet. Un piso por planta. Se alquila semi-amueblado. No se admiten mascotas. Les invitamos que contacten con nosotros para más información o visita.",False,good,False,True,9.0,{'typology': 'flat'},"{'subtitle': 'Centro Tradicional, Alicante / Alacant', 'title': 'Piso en calle Susana Llaneras'}",False,False,False,False,False,False,,,
103962896,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/16/d7/eb/1235404373.webp,38,10,2900.0,"{'price': {'amount': 2900.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 3500.0, 'priceDropValue': 600, 'priceDropPercentage': 17}}}",penthouse,rent,211.0,True,3,2,avenida de Federico Soto,Alicante,Alicante / Alacant,Centro,es,Centro Tradicional,38.344142,-0.4879541,False,https://www.idealista.com/inmueble/103962896/,604,"Lujo y Exclusividad con Vistas de Ensueño Esta maravillosa obra de arte moderno ubicada en el corazón de Alicante con una excelente terraza y unas preciosas vistas de ensueño es el lugar perfecto para gozar del lujo y de la exclusividad. Rodeada de los mejores comercios, restaurantes y centro comercial El Corte Inglés es una excelente elección para disfrutar de uno de los mejores áticos modernos que se ubican en el centro de Alicante. Interiormente es una propiedad muy luminosa pues es toda exterior y se distribuye en tres excelentes dormitorios y dos preciosos cuartos de baño de diseño moderno con revestimientos de alta gama de ""Porcelanosa"", siendo el baño principal en suite. Además dispone de un aseo moderno de cortesía junto al salón. Su espectacular cocina minimalista abierta al salón será una verdadera gozada y cuenta con electrodomésticos alta gama marca ""Miele"", si bien desde su maravillosa terraza con preciosas vistas al castillo y al mar podrá deleitarse con una velada familiar junto a su barbacoa y podrá gozar de cálidos días soleados Alicantinos. Esta propiedad dispone de aire acondicionado frío/calor por conductos en todas sus habitaciones y tiene una eficiencia energética excelente ya que dispone de placas solares. Esta propiedad tiene todos sus estores y persianas motorizados. En resumen, la excelencia personificada al alcance de clientes muy exigentes.",False,good,False,True,14.0,"{'typology': 'flat', 'subTypology': 'penthouse'}","{'subtitle': 'Centro Tradicional, Alicante / Alacant', 'title': 'Ático en avenida de Federico Soto'}",False,False,False,False,False,False,W-02USDM,,
105682427,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8d/2c/a9/1259925223.webp,13,2,1250.0,"{'price': {'amount': 1250.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1500.0, 'priceDropValue': 250, 'priceDropPercentage': 17}}}",flat,rent,120.0,True,4,2,barrio Ensanche-Diputación,Alicante,Alicante / Alacant,Centro,es,Ensanche-Diputación,38.3474848,-0.4917596,False,https://www.idealista.com/inmueble/105682427/,967,"*TORO SERVICIOS INMOBILIARIOS* REFERENCIA: 006415 ALQUILER DE VIVIENDA REFORMADA Y SIN AMOBLAR ZONA ENSANCHE CERCA DE TODOS LOS SERVICIOS Vivienda recién reformada en la zona más exclusiva de Alicante, a espaldas del Palacio Provincial de la Diputación. A 2 minutos andando de Renfe. A 4 minutos andando de Luceros. A 1 minuto andando del Mercadona. Zona residencial y tranquila. → Piso en Alicante zona Centro, 120 m. de superficie, una habitación doble y 3 habitaciones sencillas, 2 baños, propiedad reformada, cocina equipada, carpinteria interior de roble, orientación sureste, suelo de gres, carpinteria exterior de aluminio / climalit. Extras: acceso pmr, agua, aire acondicionado, armarios empotrados, ascensor, balcón, luminoso, luz, puerta blindada, terraza, autobuses, árboles, céntrico, centros comerciales, centros médicos, colegios, parques, supermercados, tranvía, vistas despejadas, zona de paso, zonas infantiles.",False,good,False,True,10.0,{'typology': 'flat'},"{'subtitle': 'Ensanche-Diputación, Alicante / Alacant', 'title': 'Piso'}",False,False,False,False,False,False,006415,,
105189333,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b0/70/8b/1254565469.webp,18,4,800.0,"{'price': {'amount': 800.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 950.0, 'priceDropValue': 150, 'priceDropPercentage': 16}}}",flat,rent,37.0,True,1,1,"rambla de Méndez Núñez, 43",Alicante,Alicante / Alacant,Centro,es,Centro Tradicional,38.3473511,-0.4848005,True,https://www.idealista.com/inmueble/105189333/,412,"Inmoterreta presenta una oportunidad única de alquiler temporal en el corazón de Alicante: un hermoso apartamento tipo estudio ubicado en la prestigiosa y demandada Rambla Méndez Núñez. Este apartamento ha sido recientemente remodelado con un enfoque vanguardista, ofreciendo un diseño sofisticado que garantiza el máximo confort. Con una superficie de aproximadamente 30 m², esta vivienda ha sido cuidadosamente diseñada para satisfacer todas las necesidades en un solo espacio La atención al detalle se refleja en cada rincón de este apartamento, que ha sido completamente equipado y decorado con un gusto exquisito. Desde los muebles elegantes hasta los accesorios de alta calidad, cada elemento ha sido seleccionado para brindar una experiencia de vida excepcional. Inmoterreta se enorgullece de ofrecer un lugar de residencia que combina estilo, comodidad y funcionalidad en una ubicación privilegiada en el centro de Alicante. No pierdas la oportunidad de disfrutar de esta vivienda única y sumergirte en un estilo de vida urbano y cosmopolita. **ALQUILER TEMPORAL DE 11 MESES**.",True,good,False,True,22.0,{'typology': 'flat'},"{'subtitle': 'Centro Tradicional, Alicante / Alacant', 'title': 'Piso en rambla de Méndez Núñez, 43'}",False,False,False,False,False,False,ID-368,,
105908580,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c8/0b/4a/1266694573.webp,9,2,1200.0,"{'price': {'amount': 1200.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1400.0, 'priceDropValue': 200, 'priceDropPercentage': 14}}}",flat,rent,50.0,True,2,2,barrio Centro Tradicional,Alicante,Alicante / Alacant,Centro,es,Centro Tradicional,38.3472207,-0.4856248,False,https://www.idealista.com/inmueble/105908580/,462,"En el centro de todo, donde todo sucede, y con todo a mano, en la confluencia de todas las sinergias que mueven Alicante, esta solución habitacional se ofrece como una oportunidad única, no sólo de vivir, sino de formar parte de la chispeante vida que bulle del corazón de la ciudad. Todo interior, dispone de un espacio de salón con cocina americana y un primer dormitorio abiertos a un tranquilo patio, un baño completo y un segundo dormitorio (interior) con baño en suite. Recién reformado en un elegante estilo contemporáneo, listo para que el mobiliario y la decoración le insuflen un alma acorde a la personalidad de sus ocupantes.",False,good,False,True,24.0,{'typology': 'flat'},"{'subtitle': 'Centro Tradicional, Alicante / Alacant', 'title': 'Piso'}",False,False,False,False,False,False,04713,,
105751548,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/74/25/25/1229093614.webp,39,5,1700.0,"{'price': {'amount': 1700.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1950.0, 'priceDropValue': 250, 'priceDropPercentage': 13}}}",flat,rent,150.0,True,3,2,"avenida Federico Soto, 13",Alicante,Alicante / Alacant,Centro,es,Ensanche-Diputación,38.3449737,-0.4902845,True,https://www.idealista.com/inmueble/105751548/,799,"¡Descubre tu nuevo hogar en el corazón de Alicante! Este espectacular piso de 150 m² construidos y 138 m² útiles te ofrece todo lo que necesitas para vivir con comodidad y estilo. Ubicado en la quinta planta de un edificio con ascensor y acceso adaptado para personas con movilidad reducida, esta vivienda es ideal para familias o aquellos que buscan un espacio luminoso y acogedor. Con 3 dormitorios, 2 baños completos, una cocina americana integrada al salón y un balcón con vistas a la calle Pintor Cabrera, cada rincón de este piso está diseñado para tu confort. El dormitorio principal cuenta con un vestidor y baño privado, mientras que los armarios empotrados en las demás habitaciones te ofrecen amplio espacio de almacenamiento. La calefacción eléctrica de gas natural y el aire acondicionado garantizan una temperatura perfecta durante todo el año. Además, tienes la opción de adquirir una plaza de garaje por 25.000 € adicionales, lo que añade un plus de comodidad a tu día a día. La ubicación es simplemente inmejorable, con todos los servicios necesarios a tu alcance: tiendas, colegios, transporte público y zonas de ocio. Este piso no solo es perfecto para vivir, sino también para trabajar o estudiar desde casa gracias a su distribución y luminosidad. No dejes pasar esta oportunidad única de hacer de este lugar tu nuevo hogar. ¡Contáctanos para más información y ven a conocerlo!",True,good,False,True,11.0,{'typology': 'flat'},"{'subtitle': 'Ensanche-Diputación, Alicante / Alacant', 'title': 'Piso en avenida Federico Soto, 13'}",True,False,False,False,False,False,,,
105751738,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/43/ca/56/1261960803.webp,30,5,1700.0,"{'price': {'amount': 1700.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1950.0, 'priceDropValue': 250, 'priceDropPercentage': 13}}}",flat,rent,150.0,True,3,2,avenida de Federico Soto,Alicante,Alicante / Alacant,Centro,es,Ensanche-Diputación,38.3435793,-0.4907971,False,https://www.idealista.com/inmueble/105751738/,859,Romaica te presenta. Impresionante piso de 150 metros  su ubicacion te permite vivir en el corazon de la ciudad visitela sin compromiso.,True,good,False,True,11.0,{'typology': 'flat'},"{'subtitle': 'Ensanche-Diputación, Alicante / Alacant', 'title': 'Piso en avenida de Federico Soto'}",False,False,False,False,False,False,ROM1185,,
105350643,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/37/3d/8e/1265396100.webp,26,,1150.0,"{'price': {'amount': 1150.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1300.0, 'priceDropValue': 150, 'priceDropPercentage': 12}}}",flat,rent,110.0,False,3,2,calle Profesor Manuel Sala,Alicante,Alicante / Alacant,Centro,es,Ensanche-Diputación,38.3381703,-0.4924455,False,https://www.idealista.com/inmueble/105350643/,1247,"KGESTIONA AB0094A. Inscrita en el REGISTRO de AGENTES INMOBILIARIOS DE LA COMUNIDAD VALENCIANA con número RAICV3298  ALQUILA PARA LARGA TEMPORADA  Piso con amplitud con 3 dormitorios, 2 baños, 1 terraza, cocina independiente, galería con lavadora, con vistas despejadas en cuarta planta. La vivienda se entrega sin amueblar excepto la cocina que dispone de mobiliario y electrodomésticos. El piso tiene muchísima luz natural además de ventanas con doble cristal para quitar el ruido y los cambios de temperatura. Se encuentra en la zona más residencial del centro de Alicante con diferentes opciones de transporte público, supermercados y a 10 minutos andando del puerto. Dispone de 2 ascensores y conserje. Aire acondicionado frío y calor (dos equipos),  Ideal para vivir con niños, Mascotas Personas con movilidad reducida (Solo acceso exterior adaptado) 110 m² construidos, 100 m² útiles 3 habitaciones 2 baños Balcón Segunda mano/buen estado Armarios Cocina equipada y casa sin amueblar Calefacción individual: Eléctrica Edificio Planta 9ª exterior Con ascensor Equipamiento Aire acondicionado Ideal para personas que les guste vivir en la ciudad pero con tranquilidad, esta cerca de todos los servicios, al estar en una pequeña calle trasversal hace de la vivienda un espacio para disfrutar en calma. KGESTIONA TAMBIÉN EN INSTAGRAM: Kgestiona. es AVISO LEGAL: El presente documento tiene carácter meramente informativo, orientativo y no vinculante, por lo que no supone información contractual alguna, siendo su uso estrictamente comercial, pudiendo contener algún error o diferencias en mediciones o características. [IW].",False,good,False,True,10.0,{'typology': 'flat'},"{'subtitle': 'Ensanche-Diputación, Alicante / Alacant', 'title': 'Piso en calle Profesor Manuel Sala'}",False,False,False,False,False,False,AB0094A,,
105697495,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/46/9d/ed/1260295864.webp,24,9,1500.0,"{'price': {'amount': 1500.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1700.0, 'priceDropValue': 200, 'priceDropPercentage': 12}}}",flat,rent,220.0,True,4,3,"plaza Calvo Sotelo, 11",Alicante,Alicante / Alacant,Centro,es,Centro Tradicional,38.3438479,-0.4887792,True,https://www.idealista.com/inmueble/105697495/,680,"**¡Descubre tu nuevo hogar en el corazón de Alicante! ** Te presentamos este espectacular piso en alquiler, ubicado en la emblemática Plaza de Calvo Sotelo. Con 220 m² construidos y 198 m² útiles, esta vivienda ofrece un espacio amplio y luminoso para ti y tu familia. La orientación a tres esquinas de Alicante te permitirá disfrutar de grandes vistas a la ciudad, al mar y al castillo, creando un ambiente único e inigualable. El piso cuenta con 4 dormitorios y 3 baños, ideal para familias numerosas o para quienes buscan espacio adicional. Desde las habitaciones, podrás contemplar atardeceres impresionantes, mientras que el salón y el balcón reciben sol de mañana y medio día, perfecto para disfrutar de un café al sol durante el otoño e invierno. Además, la terraza y el balcón ofrecen un lugar ideal para relajarse y disfrutar del buen clima alicantino. Construido en 1960, este piso ha sido mantenido en excelente estado y cuenta con armarios empotrados, calefacción y aire acondicionado para tu máximo confort. La vivienda es apta para personas con movilidad reducida y dispone de acceso adaptado, asegurando que todos puedan disfrutar de este maravilloso espacio. Ubicado en la planta 9 de un edificio con ascensor, tendrás una vista privilegiada desde cualquier ángulo. La cocina está completamente equipada con electrodomésticos modernos y la casa se alquila SIN MUEBLES. No pierdas la oportunidad de vivir en un piso que combina comodidad, estilo y vistas panorámicas en una ubicación inmejorable. ¡Contáctanos hoy mismo para concertar una visita y enamórate de tu nuevo hogar!",True,good,False,True,7.0,{'typology': 'flat'},"{'subtitle': 'Centro Tradicional, Alicante / Alacant', 'title': 'Piso en plaza Calvo Sotelo, 11'}",False,False,False,False,False,False,CALVO SOTELO,,
103576238,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/70/8c/b1/1261499743.webp,24,1,1600.0,"{'price': {'amount': 1600.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1800.0, 'priceDropValue': 200, 'priceDropPercentage': 11}}}",flat,rent,137.0,True,2,2,"calle San Vicente, 33",Alicante,Alicante / Alacant,Centro,es,Mercado,38.349741,-0.4849281,True,https://www.idealista.com/inmueble/103576238/,621,"¡Descubre tu nuevo hogar a un paso de la encantadora Rambla de Alicante! Este espectacular piso, totalmente reformado con un gusto exquisito, te ofrece la oportunidad de vivir en el corazón de la ciudad con comodidad y estilo. Con dos amplios dormitorios y dos cuartos de baño elegantes, este espacio ha sido diseñado pensando en tu confort y bienestar. Imagina despertar cada día en una habitación luminosa y acogedora, lista para recibirte. La joya de la corona es la moderna cocina abierta, completa con una isla funcional que no solo añade un toque contemporáneo, sino que también facilita la preparación de deliciosas comidas. Este espacio se convierte en el escenario perfecto para crear momentos inolvidables con amigos y familiares. Y para hacer tu vida aún más sencilla, el piso puede incluir una plaza de garaje opcional de gran tamaño por 28.000 €. Di adiós a las preocupaciones por el aparcamiento, ya que disfrutarás de la comodidad y seguridad que brindan estas plazas exclusivas. No pierdas la oportunidad de vivir en un lugar donde la modernidad se encuentra con la tradición, donde la comodidad se combina con el encanto. Este piso a un paso de la Rambla de Alicante es más que una vivienda; es el hogar que has estado buscando. ¡Contáctanos hoy para programar una visita y hacer realidad tus sueños!",True,good,False,False,12.0,{'typology': 'flat'},"{'subtitle': 'Mercado, Alicante / Alacant', 'title': 'Piso en calle San Vicente, 33'}",False,False,False,False,False,False,REF24066,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 28000.0}",
96996723,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/13/6f/cf/962605128.webp,25,2,1200.0,"{'price': {'amount': 1200.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1300.0, 'priceDropValue': 100, 'priceDropPercentage': 8}}}",flat,rent,80.0,True,2,1,calle Tomás López Torregrosa,Alicante,Alicante / Alacant,Centro,es,Centro Tradicional,38.3471526,-0.4830412,False,https://www.idealista.com/inmueble/96996723/,290,"Disponible desde el 8 de septiembre. Hermosa Vivienda en el corazón de la zona de fiesta de Alicante. En ocasiones puede resultar ruidosa. Espectacular piso de 2 habitaciones, ubicado en una de las calles más importantes de la ciudad, rodeado de infinidad de servicios de tiendas y pubs de Alicante. La vivienda está localizada en un edificio histórico. Cuenta con unos impresionantes techos de más de 4 metros de altura, y el mobiliario está compuesto por piezas de diseño. Con un gran salón-comedor integrado con cocina moderna totalmente equipada a 5 minutos de la playa del Postiguet..",False,good,False,True,15.0,{'typology': 'flat'},"{'subtitle': 'Centro Tradicional, Alicante / Alacant', 'title': 'Piso en calle Tomás López Torregrosa'}",False,False,False,False,False,False,010868,,
104855940,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f4/65/f9/1264718388.webp,17,1,1100.0,"{'price': {'amount': 1100.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1200.0, 'priceDropValue': 100, 'priceDropPercentage': 8}}}",flat,rent,39.0,True,1,1,barrio Centro Tradicional,Alicante,Alicante / Alacant,Centro,es,Centro Tradicional,38.3464542,-0.4861387,False,https://www.idealista.com/inmueble/104855940/,465,"Exclusivo Estudio de Lujo en el Corazón de Alicante: La Perfecta Fusión entre Elegancia y Comodidad con los gastos incluidos de agua, luz en internet con Netflix incluidos en la renta En el vibrante corazón de Alicante, donde la historia se entrelaza con la modernidad, emerge una joya inmobiliaria que redefine el concepto de vida urbana: un impresionante estudio de lujo que combina sofisticación, comodidad y una ubicación privilegiada. Este exquisito estudio, ubicado en plena Rambla, a escasos 400 metros de la emblemática playa del Postiguet y la icónica explanada de España, ofrece una experiencia de vida sin igual en la vibrante ciudad de Alicante. Con una superficie de 38 metros cuadrados, este espacio ha sido meticulosamente diseñado para satisfacer los más exigentes estándares de confort y estilo de vida contemporáneo. Al ingresar, se despliega una sensación de amplitud y luminosidad que invita a disfrutar cada rincón. La pieza central de este magnífico estudio es su amplia terraza, un oasis privado donde se puede disfrutar del clima mediterráneo y contemplar las vistas panorámicas de la ciudad. El estudio está equipado con todas las comodidades imaginables para una vida moderna. Desde aire acondicionado para mantener una temperatura ideal en cualquier estación del año, hasta una cocina americana completamente equipada que invita a la experimentación culinaria. El baño completo ofrece un espacio de relajación con sus acabados de alta calidad, mientras que la chimenea eléctrica añade un toque de calidez y elegancia a las noches más frescas. Los detalles de lujo no se detienen ahí; el suelo de tarima flotante de alto nivel añade un toque de distinción a cada paso, mientras que la luminosidad natural inunda cada rincón del estudio, creando un ambiente acogedor y lleno de vida. Este exquisito estudio no solo ofrece un estilo de vida incomparable, sino que también incluye todos los gastos asociados para una experiencia sin preocupaciones. Desde el agua hasta la luz e incluso Internet con Netflix, todo está incluido en el precio del alquiler, que asciende a 950€ para una persona. Para aquellos que deseen compartir este paraíso urbano, se añaden 80€ por cada persona adicional. Para acceder a esta exclusiva propiedad, se requiere una inversión inicial que garantice su cuidado y mantenimiento. Esto incluye el pago de una mensualidad como fianza, el primer mes de renta por adelantado y una comisión de la agencia inmobiliaria equivalente a un mes de renta. En resumen, este estudio de lujo en el corazón de Alicante es mucho más que un simple espacio habitable; es una invitación a vivir una vida de elegancia, comodidad y sofisticación en uno de los destinos más codiciados de la costa mediterránea.",False,good,False,True,28.0,{'typology': 'flat'},"{'subtitle': 'Centro Tradicional, Alicante / Alacant', 'title': 'Piso'}",True,False,False,False,False,False,07345,,
105738877,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c5/0f/0d/1261567801.webp,31,4,875.0,"{'price': {'amount': 875.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 950.0, 'priceDropValue': 75, 'priceDropPercentage': 8}}}",flat,rent,80.0,True,2,1,calle Catedratico Ferre Vidiella,Alicante,Alicante / Alacant,Centro,es,Ensanche-Diputación,38.34504,-0.4927897,False,https://www.idealista.com/inmueble/105738877/,1017," 4TA PLANTA SIN ASCENSOR. ¡Vive en el Corazón de Alicante! Elegante Piso de Diseño en Alquiler ¿Estás buscando un hogar en pleno centro de Alicante que combine estilo, comodidad y una ubicación inmejorable? Este espectacular piso de diseño, completamente reformado, es justo lo que necesitas. Disponible a partir del 01/09/24, esta vivienda te ofrece una experiencia única de vida urbana con todas las ventajas de estar en el centro de la ciudad. Al entrar, serás recibido por un amplio y luminoso salón que se integra a la perfección con una cocina moderna y totalmente equipada. Este espacio abierto es ideal para relajarte después de un día ajetreado o para disfrutar de cenas con amigos. La cocina, equipada con electrodomésticos de alta gama, está diseñada para que cocinar sea un placer. Los cristales climalit y la puerta blindada garantizan tanto tranquilidad como seguridad en tu hogar. Este piso cuenta con 2 cómodos dormitorios, perfectos para descansar y desconectar. Los armarios empotrados te ofrecen amplio espacio de almacenamiento, manteniendo el diseño limpio y minimalista. El cuarto de baño, con acabados modernos, está equipado con todo lo necesario para tu comodidad diaria. El confort es una prioridad en esta vivienda, con un sistema de aire acondicionado frío/calor que asegura una temperatura agradable durante todo el año. Las lámparas de diseño añaden un toque exclusivo a cada rincón, haciendo de este piso un lugar único y acogedor. Además, la excelente luminosidad natural que inunda cada habitación contribuye a crear un ambiente cálido y agradable. Vivir aquí significa estar rodeado de todas las comodidades que Alicante tiene para ofrecer. La ubicación es simplemente inmejorable: a tan solo 2 minutos caminando de la estación de RENFE, lo que facilita tus desplazamientos, y 3 minutos de la Plaza de Luceros, donde encontrarás acceso al TRAM, supermercados, farmacias y todo tipo de servicios. Desde aquí, podrás disfrutar de lo mejor de Alicante, con sus tiendas, restaurantes y vida cultural a solo un paso de tu puerta. Este es, sin duda, uno de los mejores pisos de la zona, tanto por su diseño y características como por su ubicación estratégica en el centro de Alicante. Si buscas calidad de vida, estilo y confort, este piso es la opción ideal. No dejes pasar esta oportunidad única. ¡Contáctanos hoy mismo para agendar una visita y asegúrate de no perder esta joya del centro de Alicante!",False,good,False,False,11.0,{'typology': 'flat'},"{'subtitle': 'Ensanche-Diputación, Alicante / Alacant', 'title': 'Piso en calle Catedratico Ferre Vidiella'}",False,False,False,False,False,False,1397,,
105809470,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2c/e4/bb/1263663257.webp,20,2,1100.0,"{'price': {'amount': 1100.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1200.0, 'priceDropValue': 100, 'priceDropPercentage': 8}}}",flat,rent,88.0,True,2,2,calle Girona,Alicante,Alicante / Alacant,Centro,es,Centro Tradicional,38.3453847,-0.4865933,False,https://www.idealista.com/inmueble/105809470/,479,"SE ALQUILA DESDE YA HASTA 30 DE JUNIO DE 2025.  Propiedad ideal para aquellos que buscan centro de ciudad, cerca a todos los servicios y además playa, puerto. Esta en muy buen estado en el centro de Alicante en C/ Gerona.   Planta 2, edificio con ascensor.   Tiene 88 m2 de superficie construida y 82 m útiles. Dispone de 2 habitaciones dobles, ambos con armarios empotrados y doble ventanas con doble cristal. Uno de ellos tiene baño en-suite, este mismo tiene un plato de ducha con mampara. Otro baño en el pasillo con bañera. Son interiores.  Cocina independiente y equipada: horno, nevera, vitrocéramica, lavadora, lavavajilla, calentador de agua eléctrico.  Hay 4 balcones en cada estancia: 2 dormitorios, salón y cocina.  Carpintería interior de madera, mármol, carpintería exterior de aluminio.  Extras: aire acondicionado central, aire acondicionado, armarios empotrados, ascensor, balcón (4 balcones), bomba frío y calor, calefacción, calefacción central, luminoso, puerta blindada, puertas automático, videoportero. PLAZA DE GARAJE OPCIONAL: 100 € / MES NO ACEPTAN MASCOTAS. 2 meses de fianza Distancia: Playa: 800 m Centro: está en el pleno centro: restaurantes, bares de copa, tiendas, centros comerciales, centros médicos, supermercados, tranvía, autobuses, zona de paso, etc.",False,good,False,True,13.0,{'typology': 'flat'},"{'subtitle': 'Centro Tradicional, Alicante / Alacant', 'title': 'Piso en calle Girona'}",False,False,False,False,False,False,HM193,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 100.0}",
34410116,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e6/29/b1/666577679.webp,23,2,1100.0,"{'price': {'amount': 1100.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1200.0, 'priceDropValue': 100, 'priceDropPercentage': 8}}}",flat,rent,75.0,True,2,1,barrio Casco Histórico-Santa Cruz,Alicante,Alicante / Alacant,Centro,es,Casco Histórico-Santa Cruz,38.3457846,-0.4813856,False,https://www.idealista.com/inmueble/34410116/,87,"Piso de 2 dormitorios, la vivienda tiene aa/cc totalmente equipada. Cocina reformada y baño tambien. Tiene terraza comunitaria con barbacoa mesa sillas y unas vistas increibles al casco antiguo. Su situacion es inmejorable ya que esta en el mismo casco antiguo de alicante a 1 min. Rambla y a 2 min. De la misma playa.",False,good,False,True,15.0,{'typology': 'flat'},"{'subtitle': 'Casco Histórico-Santa Cruz, Alicante / Alacant', 'title': 'Piso'}",False,False,False,False,False,False,CG11,,
